Name_Molregno compounds Alpha-2C
6,7-dimethoxy-2-((7-methoxy-2-(pyridin-2-yl)benzofuran-4-yl)methyl)-1,2,3,4-tetrahydroisoquinoline o1c2c(cc1-c1ncccc1)c(ccc2OC)CN1CCc2cc(OC)c(OC)cc2C1 8.02
6,7-dimethoxy-2-((7-methoxy-2-phenylbenzofuran-4-yl)methyl)-1,2,3,4-tetrahydroisoquinoline o1c2c(cc1-c1ccccc1)c(ccc2OC)CN1CCc2cc(OC)c(OC)cc2C1 7.7
8-((6,7-dimethoxy-3,4-dihydroisoquinolin-2(1H)-yl)methyl)-2-(furan-2-yl)-[1,2,4]triazolo[1,5-f]pyrimidin-5-amine o1cccc1-c1nc2n(n1)C(=NC=C2CN1CCc2cc(OC)c(OC)cc2C1)N 7.72
9-OH-risperidone Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2C(=NC=1C)C(O)CCC2 8.2
APOMORPHINE Oc1c-2c(CC3N(CCc4c3c-2ccc4)C)ccc1O 7.44
ARC-239 O(C)c1ccccc1N1CCN(CC1)CCC1C(=O)C(c2c(cccc2)C1=O)(C)C 7.96
ARIPIPRAZOLE Clc1c(N2CCN(CC2)CCCCOc2cc3NC(=O)CCc3cc2)cccc1Cl 7.42
BROMOCRIPTINE Brc1[nH]c2c3c1CC1N(CC(C=C1c3ccc2)C(=O)NC1(OC2(O)N(C(CC(C)C)C(=O)N3C2CCC3)C1=O)C(C)C)C 7.55
Cabergoline O=C(N(CCCN(C)C)C(=O)NCC)C1CC2C(N(C1)CC=C)Cc1c3c2cccc3[nH]c1 7.65
CHLORPROMAZINE Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN(C)C 7.36
cis-Thiothixene S1c2c(cc(S(=O)(=O)N(C)C)cc2)\C(\c2c1cccc2)=C\CCN1CCN(CC1)C 7.28
Clobenpropit Clc1ccc(cc1)C\N=C(\SCCCc1[nH]cnc1)/N 7.8
CLOZAPINE Clc1cc2NC(N3CCN(CC3)C)=C3C(=Nc2cc1)C=CC=C3 7.88
CLOZAPINE Clc1cc2N=C(N3CCN(CC3)C)c3c(Nc2cc1)cccc3 8.54
Fluparoxan Fc1c2OC3C(Oc2ccc1)CNC3 8.8
FLUPHE-999ZINE S1c2c(N(c3c1cccc3)CCCN1CCN(CC1)CCOC(=O)CCCCCC)cc(cc2)C(F)(F)F 7.54
FLUSPIRILENE Fc1ccc(cc1)C(CCCN1CCC2(N(CNC2=O)c2ccccc2)CC1)c1ccc(F)cc1 7.21
IDAZOXAN O1c2c(OCC1C=1NCCN=1)cccc2 7.72
ILOPERIDONE Fc1cc2onc(c2cc1)C1CCN(CC1)CCCOc1ccc(cc1OC)C(=O)C 7.79
LOXAPINE Clc1cc2c(Oc3c(N=C2N2CCN(CC2)C)cccc3)cc1 7.1
METHYSERGIDE OCC(NC(=O)C1C=C2C(N(C1)C)Cc1c3c2cccc3n(c1)C)CC 7.05
MIANSERIN N12C(c3c(Cc4c1cccc4)cccc3)CN(CC2)C 8.42
MIRTAZAPINE n1c2N3C(c4c(Cc2ccc1)cccc4)CN(CC3)C 7.74
N-(2-amino-2-methylpropyl)-4-((6,7-dimethoxy-3,4-dihydroisoquinolin-2(1H)-yl)methyl)-7-methoxybenzofuran-2-carboxamide o1c2c(cc1C(=O)NCC(N)(C)C)c(ccc2OC)CN1CCc2cc(OC)c(OC)cc2C1 8.38
OLANZAPINE S1C2=Nc3c(NC(N4CCN(CC4)C)=C2C=C1C)cccc3 7.21
OLANZAPINE s1c2Nc3c(N=C(N4CCN(CC4)C)c2cc1C)cccc3 7.09
ORG-5222 Clc1cc2C3C(c4c(Oc2cc1)cccc4)CN(C3)C 7.82
p-AMINOCLONIDINE Clc1cc(N)cc(Cl)c1NC=1NCCN=1 7.67
PERGOLIDE S(CC1CC2C(N(C1)CCC)Cc1c3c2cccc3[nH]c1)C 7.17
PERPHE-999ZINE Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN1CCN(CC1)CCO 7.07
PHENTOLAMINE Oc1cc(N(CC=2NCCN=2)c2ccc(cc2)C)ccc1 7.59
Piribedil O1c2cc(ccc2OC1)CN1CCN(CC1)c1ncccn1 7.16
PRAZOSIN o1cccc1C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1 7.52
QUETIAPINE S1c2c(cccc2)C(=Nc2c1cccc2)N1CCN(CC1)CCOCCO 7.18
RAUBASINE O1C=C(C2C(CN3C(C2)c2[nH]c4c(c2CC3)cccc4)C1C)C(OC)=O 8.3
RISPERIDONE Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2C(=NC=1C)CCCC2 8.56
Roxindole Oc1cc2c([nH]cc2CCCCN2CCC(=CC2)c2ccccc2)cc1 8.75
SPIROXATRINE O1c2c(OCC1CN1CCC3(N(CNC3=O)c3ccccc3)CC1)cccc2 9.42
TERGURIDE O=C(NC1CC2C(N(C1)C)Cc1c3c2cccc3[nH]c1)N(CC)CC 9.12
THIORIDAZINE S1c2c(N(c3c1cccc3)CCC1N(CCCC1)C)cc(SC)cc2 7.13
WB4101 O1c2c(OC(CNCCOc3c(OC)cccc3OC)C1c1ccccc1)cccc2 8.95
ZIPRASIDONE Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2c1cccc2 7.15
ZOTEPINE Clc1cc2c(Sc3c(C=C2OCCN(C)C)cccc3)cc1 7.02
